"Date","New_Loc","STSR","Depth","SST","Trip"
2014-03-11,"Joubertsdam",0,10.5,15,2
2014-03-12,"Joubertsdam",0,11.4,14,1
2014-03-12,"Joubertsdam",0,11.4,14,2
2014-03-13,"Joubertsdam",0,9.5,13.6,1
2014-03-13,"Joubertsdam",0,9.5,13.6,2
2014-03-14,"Joubertsdam",0,11.7,13.6,1
2014-03-15,"Joubertsdam",0,11.3,13.3,1
2014-03-15,"Joubertsdam",0,10,13.5,2
2014-03-16,"Joubertsdam",0,8.1,13.4,1
2014-03-16,"Joubertsdam",0,11.4,13.4,2
2014-03-17,"Joubertsdam",0,11.6,15.8,1
2014-03-18,"Joubertsdam",0,NA,14.8,1
2014-03-21,"Joubertsdam",0,12.3,16,1
2014-03-21,"Joubertsdam",0,12.3,16,2
2014-03-22,"Joubertsdam",0,8,16.4,1
2014-03-23,"Joubertsdam",0,8,16.6,1
2014-03-23,"Joubertsdam",0,8,16.6,2
2014-03-24,"Joubertsdam",0,10.1,17.8,1
2014-03-27,"Joubertsdam",0,12,18.3,1
2014-03-27,"Joubertsdam",0,12,18.3,2
2014-03-28,"Joubertsdam",0,9.5,18.4,1
2014-03-29,"Joubertsdam",0,11.4,18.6,1
2014-03-29,"Joubertsdam",0,11.4,18.6,2
2014-03-30,"Joubertsdam",0,12.6,19.1,1
2014-03-31,"Joubertsdam",0,11.8,19.3,1
2014-04-02,"Joubertsdam",0,9,19.1,1
2014-04-02,"Joubertsdam",0,9,19.1,2
2014-04-03,"Joubertsdam",0,12.3,18.8,1
2014-04-04,"Joubertsdam",0,9.5,18.6,1
2014-04-04,"Joubertsdam",0,9.5,18.6,2
2014-04-05,"Joubertsdam",0,8.2,18.8,1
2014-04-05,"Joubertsdam",0,8.7,18.8,2
2014-04-06,"Joubertsdam",0,11.2,15.6,1
2014-04-07,"Joubertsdam",0,8.9,15.9,1
2014-04-08,"Joubertsdam",0,12.2,16.8,1
2014-04-08,"Joubertsdam",0,12.2,16.8,2
2014-04-09,"Joubertsdam",0,9.8,17.2,1
2014-04-10,"Joubertsdam",1,11.9,17.2,1
2014-04-10,"Joubertsdam",0,11.9,17.2,2
2014-04-11,"Joubertsdam",0,11.7,17.5,1
2014-04-11,"Joubertsdam",0,11.7,17.5,2
2014-04-12,"Joubertsdam",0,11.5,17.9,1
2014-04-12,"Joubertsdam",0,11.5,17.9,2
2014-04-13,"Joubertsdam",0,10.3,18,1
2014-04-13,"Joubertsdam",0,10.3,18,2
2014-04-14,"Joubertsdam",0,10.2,19.1,1
2014-04-14,"Joubertsdam",0,10.2,19.1,2
2014-04-15,"Joubertsdam",0,8,18.2,1
2014-04-15,"Joubertsdam",1,8,18.2,2
2014-04-16,"Joubertsdam",1,8,16.2,1
2014-04-16,"Joubertsdam",0,8,16.2,2
2014-04-17,"Joubertsdam",0,8,13.7,1
2014-04-17,"Joubertsdam",0,8,13.7,2
2014-04-18,"Joubertsdam",0,8.5,14.7,1
2014-04-18,"Joubertsdam",0,8.5,14.7,2
2014-04-19,"Joubertsdam",0,8.8,15.6,1
2014-04-19,"Joubertsdam",0,8.8,15.6,2
2014-04-20,"Joubertsdam",0,9.7,13.8,1
2014-04-20,"Joubertsdam",0,9.7,13.8,2
2014-04-21,"Joubertsdam",0,9,12.1,1
2014-04-21,"Joubertsdam",0,9,12.1,2
2014-04-22,"Joubertsdam",0,9.5,12,1
2014-04-23,"Joubertsdam",0,11.6,12.8,1
2014-04-23,"Joubertsdam",0,11.6,12.8,2
2014-04-24,"Joubertsdam",0,11.2,12.7,1
2014-04-24,"Joubertsdam",0,11.2,12.7,2
2014-04-24,"Joubertsdam",0,11.2,12.7,3
2014-04-25,"Joubertsdam",0,9.4,12.2,1
2014-04-26,"Joubertsdam",0,9.6,13.2,1
2014-04-27,"Joubertsdam",0,8.8,12.9,1
2014-04-28,"Joubertsdam",0,11.6,13.7,1
2014-04-28,"Joubertsdam",0,11.6,13.7,2
2014-04-30,"Joubertsdam",0,8.5,13.5,1
2014-04-30,"Joubertsdam",0,8.5,13.5,2
2014-05-01,"Joubertsdam",0,9.3,13.5,1
2014-05-01,"Joubertsdam",0,9.3,13.5,2
2014-05-02,"Joubertsdam",0,9.5,14.1,1
2014-05-02,"Joubertsdam",0,9.5,14.7,2
2014-05-03,"Joubertsdam",0,8.5,15.4,1
2014-05-06,"Joubertsdam",0,9.5,14.4,1
2014-05-06,"Joubertsdam",0,9.5,14.4,2
2014-05-07,"Joubertsdam",0,9.8,14.5,1
2014-05-14,"Joubertsdam",0,7.8,15.6,1
2014-05-15,"Joubertsdam",0,7.8,15.6,1
2014-05-16,"Joubertsdam",0,12,16,1
2014-05-17,"Joubertsdam",0,12.1,15.5,1
2014-07-20,"Joubertsdam",0,13.5,15.4,1
2014-07-21,"Joubertsdam",0,8,14.6,1
2014-07-21,"Joubertsdam",0,8,14.6,2
2014-07-22,"Joubertsdam",0,8.6,14.8,1
2014-07-22,"Joubertsdam",0,10.1,14.8,2
2014-07-23,"Joubertsdam",0,10.1,14.8,1
2014-07-24,"Joubertsdam",0,7.8,15,1
2014-07-27,"Joubertsdam",0,7.9,14.7,1
2014-07-28,"Joubertsdam",0,9.2,14.8,1
2014-07-28,"Joubertsdam",0,9.2,14.8,2
2014-07-28,"Joubertsdam",0,9.2,14.8,3
2014-07-29,"Joubertsdam",0,8.5,14.9,1
2014-07-29,"Joubertsdam",0,8.5,14.9,2
2014-07-30,"Joubertsdam",0,7.9,14.9,1
2014-07-30,"Joubertsdam",0,7.9,14.9,2
2014-07-31,"Joubertsdam",0,10.9,15.2,1
2014-07-31,"Joubertsdam",0,10.9,15.2,2
2014-08-01,"Joubertsdam",0,7.9,15.4,1
2014-08-01,"Joubertsdam",0,7.9,15.4,2
2014-08-02,"Joubertsdam",0,12,15.5,1
2014-08-02,"Joubertsdam",0,11.4,15.5,2
2014-08-04,"Joubertsdam",0,11.9,15.2,1
2014-08-04,"Joubertsdam",0,11.9,15.2,2
2014-08-06,"Joubertsdam",0,10.4,15.1,1
2014-08-06,"Joubertsdam",0,12.5,15.1,2
2014-08-07,"Joubertsdam",0,10.2,15,1
2014-08-08,"Joubertsdam",0,8.9,15.3,1
2014-08-08,"Joubertsdam",0,8.9,15.3,2
2014-08-09,"Joubertsdam",0,9.8,15.2,1
2014-08-09,"Joubertsdam",0,10.4,15.4,2
2014-08-10,"Joubertsdam",0,9.9,15.6,1
2014-08-10,"Joubertsdam",0,9.6,15.4,2
2014-08-11,"Joubertsdam",0,11.1,15.8,1
2014-08-11,"Joubertsdam",0,11.1,15.8,2
2014-08-12,"Joubertsdam",0,9.1,15.9,1
2014-08-12,"Joubertsdam",0,9,15.7,2
2014-08-14,"Joubertsdam",0,9.7,15.6,1
2014-08-14,"Joubertsdam",0,10.2,15.5,2
2014-08-15,"Joubertsdam",0,9.1,15.7,1
2014-08-15,"Joubertsdam",0,9.1,15.7,2
2014-08-16,"Joubertsdam",0,11.8,15.6,1
2014-08-16,"Joubertsdam",0,11.4,15.6,2
2014-08-16,"Joubertsdam",0,11.4,15.6,3
2014-08-17,"Joubertsdam",0,11.8,16,1
2014-08-17,"Joubertsdam",0,10,16,2
2014-08-18,"Joubertsdam",0,9.7,16,1
2014-08-18,"Joubertsdam",0,9.9,16,2
2014-08-22,"Joubertsdam",0,10.2,15.2,1
2014-08-22,"Joubertsdam",0,10.2,15.5,2
2014-08-23,"Joubertsdam",0,9.3,15,1
2014-08-23,"Joubertsdam",0,9,15,2
2014-08-24,"Joubertsdam",0,10.8,15.2,1
2014-08-24,"Joubertsdam",0,12.3,15.3,2
